,Volcano_Name,Volcano_Type,Country,Region,Subregion,epoch_period,Last_Eruption,Latitude,Longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km,Summit,Elevation
1057,Simbo,Stratovolcano,Solomon Islands,Melanesia and Australia,Bougainville and Solomon Islands,holocene,1910 CE,8,8,210.0,240.0,833.0,27923.0,335,1099
1058,Sinabung,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,2021 CE,3,3,997.0,13801.0,163630.0,7646863.0,2460,8071
1060,Singkut,Caldera,Indonesia,Indonesia,Sumatra,holocene,1881 CE,3,3,11833.0,21448.0,228453.0,7958409.0,2181,7156
1061,"Singuil, Cerro",Pyroclastic cone,El Salvador,México and Central America,El Salvador and Honduras,holocene,Unknown - Evidence Credible,14,14,25874.0,156926.0,883616.0,6672302.0,926,3038
1062,Sirung,Complex,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2021 CE,8,8,5966.0,19334.0,69744.0,418756.0,862,2828
1063,Slamet,Stratovolcano,Indonesia,Indonesia,Java,holocene,2014 CE,7,7,856.0,13401.0,2904026.0,20217467.0,3428,11247
1065,Snaefellsjokull,Stratovolcano,Iceland,Iceland and Arctic Ocean,Iceland (western),holocene,200 CE,64,64,9.0,129.0,2264.0,11820.0,1446,4744
1067,Soche,Stratovolcano,Ecuador,South America,Ecuador,holocene,6650 BCE,0,0,123.0,1460.0,70322.0,1840573.0,3955,12976
1068,Socompa,Stratovolcano,Chile,South America,"Northern Chile, Bolivia and Argentina",holocene,5250 BCE,24,24,5.0,113.0,538.0,8620.0,6031,19787
1070,Soda Lakes,Maar,United States,Canada and Western USA,USA (Nevada),holocene,Unknown - Evidence Credible,39,39,1616.0,11149.0,25655.0,557259.0,1251,4104
1071,Sodore,Pyroclastic cone,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,8,8,432998.0,432998.0,648056.0,7539098.0,1765,5791
1073,Sollipulli,Caldera,Chile,South America,Central Chile and Argentina,holocene,1240 CE,38,38,2971.0,2971.0,8904.0,510741.0,2282,7487
1075,Soputan,Stratovolcano,Indonesia,Indonesia,Sulawesi,holocene,2020 CE,1,1,4724.0,69991.0,501336.0,1696768.0,1785,5856
1076,Sorikmarapi,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,1986 CE,0,0,203.0,1469.0,90257.0,1831957.0,2145,7037
1077,Sork Ale,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Uncertain,13,13,174.0,632.0,3896.0,38428.0,1611,5285
1078,Sotara,Stratovolcano,Colombia,South America,Colombia,holocene,Unknown - Evidence Credible,2,2,1188.0,5553.0,127782.0,1726425.0,4400,14436
1079,Soufriere Guadeloupe,Stratovolcano,France,West Indies,West Indies,holocene,1977 CE,16,16,8839.0,71345.0,256899.0,482449.0,1467,4813
1080,Soufriere Hills,Stratovolcano,United Kingdom,West Indies,West Indies,holocene,2013 CE,16,16,3006.0,9401.0,9458.0,448929.0,915,3002
1081,Soufriere St. Vincent,Stratovolcano,Saint Vincent and the Grenadines,West Indies,West Indies,holocene,2021 CE,13,13,1491.0,15327.0,103882.0,291476.0,1220,4003
1093,St. Andrew Strait,Complex,Papua New Guinea,Melanesia and Australia,Admiralty Islands,holocene,1957 CE,2,2,633.0,678.0,2870.0,47539.0,270,886
